,PID,type2,month,M_ID,q1,q2_a_1,q5,q5_1,q5_2_1,q5_2_2,q5_2_3,q5_2_4,q5_2_5,q5_2_6,q10_1,q10_2,q10_3,q10_4,q10_5,q10_6,q10_7,q10_8,q10_9,q10_10,q10_11,q10_12,wt,q6_1,q6_1_1,q6_2,q6_6_1,q6_6_2,q6_6_3,q6_6_4,q6_6_5,q6_6_6,q6_6_7,q6_6_8,q6_6_9,q6_6_10,q6_6_11,q6_6_12,q6_6_13,q6_6_14,q6_6_15,q6_6_16,q6_6_17,q6_6_18,q6_6_19,q6_6_20,q6_6_21,q6_7,q6_8,q6_9,q7_2
46,1001701,2,8,122627,2,8,1,4,,,,,,,4,4,4,9,4,9,4,4,4,4,4,4,4279.089996,937,410,4,1,2,3,,5,,,,,,,,,,,,,,,,,4,4,5,200000
47,1001702,1,5,109138,2,5,1,4,1,,,,,,4,4,4,4,4,4,4,4,4,4,4,4,4061.699186,931,130,4,1,2,3,,5,,,,,,,,,,,,,,,,,4,4,4,400000
48,1001702,2,8,122627,2,8,1,4,,,,,,,4,4,4,9,4,9,4,4,4,4,4,4,4061.699186,937,410,4,1,2,3,,5,,,,,,,,,,,,,,,,,4,4,5,200000
49,1001702,2,8,122631,2,8,1,5,1,,,,,,4,4,4,4,4,9,4,4,4,4,4,4,4061.699186,932,60,3,1,2,3,,5,,,,,,,,,,,,,,,,,4,5,4,150000
50,1001802,2,12,121728,2,12,1,6,,,,,,,5,5,4,4,4,9,4,4,4,4,4,4,7014.652336,921,90,4,1,2,3,,5,,,,,,,,,,,,,,,,,4,4,5,420000
51,1001803,1,5,109002,2,5,1,2,1,,,,,,4,4,4,4,4,9,4,4,4,4,4,4,10000.79787,932,310,2,1,2,3,,5,,,,,,,,,,,,,,,,,4,4,4,250000
52,1001803,2,7,121735,2,7,1,2,1,,,,,,5,5,4,4,4,4,4,4,4,4,4,4,10000.79787,937,10,4,1,2,3,,,6,,,,,,,,,,,,,,,,4,4,5,900000
53,1001803,2,12,121728,2,12,1,6,,,,,,,5,5,4,4,4,9,4,4,4,4,4,4,10000.79787,921,90,4,1,2,3,,5,,,,,,,,,,,,,,,,,4,4,5,420000
54,1001902,2,8,104009,2,8,1,8,1,,,,,,5,5,5,5,5,9,5,5,5,5,5,5,5754.036205,931,10,4,1,2,3,,5,,,,,,,,,,,,,,,,,4,4,4,2400000
55,1001904,1,4,104010,2,4,1,2,1,,,,,,4,4,4,9,4,4,4,4,4,4,4,4,6094.581398,921,10,2,1,2,3,,5,,,,,,,,,,,,,,,,,4,4,4,200000
