PID	M_ID	nature	traffic	food	info	facility	kind	total	loc_code	money	age	age_group	money_group	label_group	a_c
1023503	117084	4	4	4	4	4	4	4	932060	61111	30	3	2	8	강원 속초시
1024001	117482	5	4	4	4	4	4	4	932060	12346	71	5	1	13	강원 속초시
1024001	117483	4	4	4	4	4	4	4	932060	75000	71	5	2	14	강원 속초시
1024002	117482	5	4	4	4	4	4	4	932060	12346	68	5	1	13	강원 속초시
1024002	117484	4	4	4	4	4	4	4	932060	150000	68	5	3	15	강원 속초시
1024004	117482	5	4	4	4	4	4	4	932060	12346	39	3	1	7	강원 속초시
1024004	117483	4	4	4	4	4	4	4	932060	75000	39	3	2	8	강원 속초시
1024203	118448	4	4	4	4	4	4	4	932060	66667	35	3	2	8	강원 속초시
1024204	118448	4	4	4	4	4	4	4	932060	66667	30	3	2	8	강원 속초시
1024803	118697	4	4	4	4	4	4	4	932060	100000	24	2	3	6	강원 속초시
1031301	107997	4	5	4	5	5	4	4	932060	33334	69	5	1	13	강원 속초시
1031302	107997	4	5	4	5	5	4	4	932060	33334	69	5	1	13	강원 속초시
1031303	107997	4	5	4	5	5	4	4	932060	33334	34	3	1	7	강원 속초시
1033503	115088	5	4	5	4	4	5	4	932060	100000	26	2	3	6	강원 속초시
1033601	107762	4	5	4	5	4	4	4	932060	41667	56	4	1	10	강원 속초시
1033602	107762	4	5	4	5	4	4	4	932060	41667	51	4	1	10	강원 속초시
1033603	107762	4	5	4	5	4	4	4	932060	41667	24	2	1	4	강원 속초시
1033604	107762	4	5	4	5	4	4	4	932060	41667	21	2	1	4	강원 속초시
1033803	108671	4	5	4	5	4	4	4	932060	66667	36	3	2	8	강원 속초시
1036201	110996	5	4	4	4	4	5	5	932060	50000	68	5	2	14	강원 속초시
1036202	110996	5	4	4	4	4	5	5	932060	50000	63	5	2	14	강원 속초시
1036403	110253	5	5	5	5	5	5	5	932060	75000	37	3	2	8	강원 속초시
1036601	101856	4	4	4	3	4	4	4	932060	50000	70	5	2	14	강원 속초시
1036604	101856	4	4	4	3	4	4	4	932060	50000	38	3	2	8	강원 속초시
1037001	109785	4	4	4	4	4	4	4	932060	96667	74	5	2	14	강원 속초시
1037703	121886	3	3	4	3	3	4	4	932060	45000	20	2	1	4	강원 속초시
1038101	101492	4	3	4	4	3	3	4	932060	75000	48	4	2	11	강원 속초시
1038102	101492	4	3	4	4	3	3	4	932060	75000	47	4	2	11	강원 속초시
1038703	120178	4	3	3	4	3	4	4	932060	66667	18	1	2	2	강원 속초시
1038801	104082	4	3	4	4	3	4	4	932060	35000	86	6	1	16	강원 속초시
1038801	120320	5	5	4	4	4	4	4	932060	60000	86	6	2	17	강원 속초시
1040201	116970	4	4	5	5	5	4	5	932060	25000	47	4	1	10	강원 속초시
1040202	116970	4	4	5	5	5	4	5	932060	25000	43	3	1	7	강원 속초시
1041201	119391	4	3	4	4	4	4	5	932060	55556	43	3	2	8	강원 속초시
1041202	119391	4	3	4	4	4	4	5	932060	55556	43	3	2	8	강원 속초시
1041203	119391	4	3	4	4	4	4	5	932060	55556	15	1	2	2	강원 속초시
1041301	105570	4	4	3	3	4	4	4	932060	133333	41	3	3	9	강원 속초시
1041302	105570	4	4	3	3	4	4	4	932060	133333	39	3	3	9	강원 속초시
1042001	119977	4	2	3	4	3	3	4	932060	41667	48	4	1	10	강원 속초시
1042002	119977	4	2	3	4	3	3	4	932060	41667	45	3	1	7	강원 속초시
1042003	119977	4	2	3	4	3	3	4	932060	41667	18	1	1	1	강원 속초시
1042004	119977	4	2	3	4	3	3	4	932060	41667	16	1	1	1	강원 속초시
1044301	120539	4	5	4	5	5	4	4	932060	50000	78	5	2	14	강원 속초시
1044302	120539	4	5	4	5	5	4	4	932060	50000	66	5	2	14	강원 속초시
1047804	106839	5	3	3	4	4	3	4	932060	100000	20	2	3	6	강원 속초시
1049001	110395	4	4	4	4	4	4	4	932060	62500	65	5	2	14	강원 속초시
1049002	110395	4	4	4	4	4	4	4	932060	62500	60	5	2	14	강원 속초시
1049901	101008	3	4	5	4	4	4	5	932060	95900	66	5	2	14	강원 속초시
1049901	900044	3	4	5	4	4	4	5	932060	95900	66	5	2	14	강원 속초시
1050203	116314	4	4	4	4	4	4	4	932060	300000	19	1	3	3	강원 속초시
1050603	118960	4	5	5	4	5	4	4	932060	66667	23	2	2	5	강원 속초시
1050901	118523	4	4	4	4	4	4	5	932060	50000	65	5	2	14	강원 속초시
1052401	122479	4	4	4	4	4	4	4	932060	83333	70	5	2	14	강원 속초시
1052403	122479	4	4	4	4	4	4	4	932060	83333	60	5	2	14	강원 속초시
1052701	102683	4	4	4	4	4	4	4	932060	75000	65	5	2	14	강원 속초시
1052702	102683	4	4	4	4	4	4	4	932060	75000	67	5	2	14	강원 속초시
1053504	109398	4	4	4	4	4	4	4	932060	33333	21	2	1	4	강원 속초시
1055002	109110	4	3	4	4	4	4	4	932060	20000	65	5	1	13	강원 속초시
1056601	119234	5	4	4	4	4	4	4	932060	83333	46	4	2	11	강원 속초시
1056601	119237	5	4	4	4	4	4	4	932060	75000	46	4	2	11	강원 속초시
1056602	119234	5	4	4	4	4	4	4	932060	83333	46	4	2	11	강원 속초시
1056602	119237	5	4	4	4	4	4	4	932060	75000	46	4	2	11	강원 속초시
1057201	119048	4	4	4	4	4	4	4	932060	0	81	6	1	16	강원 속초시
1057202	119048	4	4	4	4	4	4	4	932060	0	80	6	1	16	강원 속초시
1057401	110606	4	5	4	4	4	4	5	932060	50000	67	5	2	14	강원 속초시
1057401	123259	4	4	4	4	4	4	4	932060	25000	67	5	1	13	강원 속초시
1057402	123259	4	4	4	4	4	4	4	932060	25000	66	5	1	13	강원 속초시
1057801	122332	5	4	4	4	4	3	4	932060	75000	66	5	2	14	강원 속초시
1057802	122332	5	4	4	4	4	3	4	932060	75000	62	5	2	14	강원 속초시
1075001	120755	4	4	4	5	4	4	4	932060	33333	67	5	1	13	강원 속초시
1075002	120755	4	4	4	5	4	4	4	932060	33333	65	5	1	13	강원 속초시
