,PID,M_ID,nature,traffic,food,info,facility,kind,total,loc_code,money,age,age_group,money_group,label_group,a_c,all
7152,1019702,118800,4,4,4,4,4,4,4,939010,83333,54,4,2,11,제주 제주시,9
7153,1031002,110484,4,4,4,4,4,4,4,939010,67000,58,4,2,11,제주 제주시,9
7154,1238102,122563,5,5,4,5,5,4,5,939010,83333,59,4,2,11,제주 제주시,9
7155,1019703,118800,4,4,4,4,4,4,4,939010,83333,30,3,2,8,제주 제주시,9
7156,1031004,110484,4,4,4,4,4,4,4,939010,67000,32,3,2,8,제주 제주시,9
7157,1019704,118800,4,4,4,4,4,4,4,939010,83333,25,2,2,5,제주 제주시,9
7158,1280105,110125,4,4,4,4,4,4,4,939010,50000,25,2,2,5,제주 제주시,9
7159,1070301,106429,5,4,5,4,5,4,4,939010,250000,69,5,3,15,제주 제주시,9
7160,1070302,106429,5,4,5,4,5,4,4,939010,250000,65,5,3,15,제주 제주시,9
7161,1124201,104924,5,4,4,4,4,4,5,939010,146667,72,5,3,15,제주 제주시,9
7162,1124202,104924,5,4,4,4,4,4,5,939010,146667,65,5,3,15,제주 제주시,9
7163,1233501,115376,5,4,5,4,5,5,5,939010,166667,69,5,3,15,제주 제주시,9
7164,1233502,115376,5,4,5,4,5,5,5,939010,166667,61,5,3,15,제주 제주시,9
7165,1234002,115330,5,4,5,4,5,5,5,939010,200000,65,5,3,15,제주 제주시,9
7166,1517801,108413,4,4,4,4,4,4,4,939010,124167,62,5,3,15,제주 제주시,9
7167,1517802,108413,4,4,4,4,4,4,4,939010,124167,60,5,3,15,제주 제주시,9
7168,1098401,108191,5,5,5,5,5,5,5,939010,0,47,4,1,10,제주 제주시,9
7169,1238701,122162,5,4,4,4,5,5,5,939010,25000,57,4,1,10,제주 제주시,9
7170,1238702,122162,5,4,4,4,5,5,5,939010,25000,55,4,1,10,제주 제주시,9
7171,1510703,105103,4,4,4,4,4,4,4,939010,41667,54,4,1,10,제주 제주시,9
7172,1127004,100315,5,4,4,4,4,5,4,939010,133333,19,1,3,3,제주 제주시,9
7173,1208403,301241,5,3,4,4,4,4,5,939010,200000,15,1,3,3,제주 제주시,9
7174,1231604,105666,4,4,3,4,4,4,4,939010,120000,16,1,3,3,제주 제주시,9
7175,1231604,900247,4,4,3,4,4,4,4,939010,120000,16,1,3,3,제주 제주시,9
7176,1278203,118676,4,4,4,4,4,4,4,939010,135000,16,1,3,3,제주 제주시,9
7177,1311802,110410,5,5,5,5,5,5,5,939010,216667,18,1,3,3,제주 제주시,9
7178,1128403,100630,4,4,4,4,4,4,5,939010,133333,23,2,3,6,제주 제주시,9
7179,1153405,110645,5,5,5,5,5,5,5,939010,100000,29,2,3,6,제주 제주시,9
7180,1153405,122833,5,5,5,5,5,5,4,939010,110466,29,2,3,6,제주 제주시,9
7181,1234904,106226,5,3,3,3,3,3,4,939010,211000,25,2,3,6,제주 제주시,9
7182,1234905,106226,5,3,3,3,3,3,4,939010,211000,22,2,3,6,제주 제주시,9
7183,1312401,117174,4,4,4,4,4,4,4,939010,250000,28,2,3,6,제주 제주시,9
