,PID,q6_1,q6_1_1,,new
544,1011102,923,310,310,923310
545,1011102,931,350,350,931350
546,1011102,932,60,060,932060
547,1011103,932,30,030,932030
548,1011103,932,30,030,932030
549,1011103,932,60,060,932060
550,1011103,932,60,060,932060
551,1011201,923,320,320,923320
552,1011201,932,340,340,932340
553,1011201,931,380,380,931380
554,1011201,931,120,120,931120
555,1011201,911,50,050,911050
556,1011202,923,320,320,923320
557,1011202,932,340,340,932340
558,1011202,931,380,380,931380
559,1011202,931,120,120,931120
560,1011202,911,50,050,911050
561,1011301,931,270,270,931270
562,1011301,931,260,260,931260
563,1011301,931,120,120,931120
564,1011301,931,380,380,931380
565,1011301,931,380,380,931380
566,1011301,931,260,260,931260
567,1011301,931,320,320,931320
568,1011301,932,390,390,932390
569,1011301,931,130,130,931130
570,1011301,933,360,360,933360
571,1011301,931,350,350,931350
572,1011301,931,100,100,931100
573,1011301,931,270,270,931270
574,1011301,936,400,400,936400
575,1011301,931,370,370,931370
576,1011301,923,310,310,923310
577,1011301,923,310,310,923310
578,1011302,923,310,310,923310
579,1011302,931,380,380,931380
580,1011302,934,10,010,934010
581,1011302,935,340,340,935340
582,1011302,931,270,270,931270
583,1011302,936,380,380,936380
584,1011302,931,130,130,931130
585,1011302,931,250,250,931250
586,1011302,935,310,310,935310
587,1011303,931,380,380,931380
588,1011303,931,270,270,931270
589,1011304,932,10,010,932010
590,1011304,931,320,320,931320
591,1011304,931,380,380,931380
592,1011304,931,270,270,931270
593,1011501,937,20,020,937020
594,1011502,937,20,020,937020
595,1011503,932,60,060,932060
596,1011503,932,60,060,932060
597,1011504,932,60,060,932060
598,1011701,932,340,340,932340
599,1011701,932,340,340,932340
600,1011801,938,50,050,938050
601,1011801,911,50,050,911050
602,1011802,938,50,050,938050
603,1011802,911,50,050,911050
604,1011901,934,80,080,934080
605,1011901,934,10,010,934010
606,1011902,934,80,080,934080
607,1011902,934,10,010,934010
608,1011903,934,80,080,934080
609,1011903,934,10,010,934010
610,1012201,923,70,070,923070
611,1012201,934,60,060,934060
612,1012201,932,320,320,932320
613,1012201,934,20,020,934020
614,1012202,923,70,070,923070
615,1012202,934,60,060,934060
616,1012202,932,320,320,932320
617,1012202,934,20,020,934020
618,1012401,932,60,060,932060
619,1012401,932,30,030,932030
620,,,,000,000
621,1012402,932,60,060,932060
622,1012402,932,30,030,932030
623,,,,000,000
624,1012403,932,60,060,932060
625,1012403,932,30,030,932030
626,,,,000,000
627,1012701,936,330,330,936330
628,1012701,931,380,380,931380
629,1012702,931,200,200,931200
630,1012702,911,190,190,911190
631,1012702,939,20,020,939020
632,1012702,931,190,190,931190
633,1012702,936,330,330,936330
634,1012702,931,380,380,931380
635,1012702,911,240,240,911240
636,1012801,936,450,450,936450
637,1012801,931,210,210,931210
638,1012801,931,320,320,931320
639,1012801,936,450,450,936450
640,1012801,931,210,210,931210
641,1012802,931,210,210,931210
642,1012802,931,320,320,931320
643,1012802,931,210,210,931210
644,1012802,931,190,190,931190
645,1012901,938,90,090,938090
646,1012901,926,20,020,926020
647,,,,000,000
648,1012902,938,90,090,938090
649,1012902,926,20,020,926020
650,,,,000,000
651,1013001,931,130,130,931130
652,1013001,931,370,370,931370
653,1013001,931,370,370,931370
654,1013002,931,130,130,931130
655,1013002,932,310,310,932310
656,1013002,931,370,370,931370
657,1013002,931,370,370,931370
658,1013003,931,130,130,931130
659,1013003,931,370,370,931370
660,1013003,931,270,270,931270
661,1013003,931,370,370,931370
662,1013201,932,30,030,932030
663,1013201,934,80,080,934080
664,1013201,932,60,060,932060
665,1013201,932,410,410,932410
666,1013201,932,60,060,932060
667,1013201,931,370,370,931370
668,1013202,932,30,030,932030
669,1013202,934,80,080,934080
670,1013202,932,60,060,932060
671,1013202,932,60,060,932060
672,1013202,931,370,370,931370
673,1013203,932,30,030,932030
674,1013203,934,80,080,934080
675,1013203,932,60,060,932060
676,1013203,932,60,060,932060
677,1013204,932,30,030,932030
678,1013204,934,80,080,934080
679,1013204,932,60,060,932060
680,1013204,932,60,060,932060
681,1013301,936,60,060,936060
682,1013301,921,90,090,921090
683,1013302,936,60,060,936060
684,1013302,932,380,380,932380
685,1013302,921,90,090,921090
686,1013601,934,380,380,934380
687,1013601,931,370,370,931370
688,1013602,934,380,380,934380
689,1013602,931,370,370,931370
690,1013603,934,380,380,934380
691,1013603,931,370,370,931370
692,1013604,934,380,380,934380
693,1013604,931,370,370,931370
694,1013701,934,380,380,934380
695,1013701,921,100,100,921100
696,1013702,934,380,380,934380
697,1013702,921,100,100,921100
698,1013703,934,380,380,934380
699,1013703,921,100,100,921100
700,1013801,931,370,370,931370
701,1013802,931,380,380,931380
702,1013802,931,370,370,931370
703,1013901,939,20,020,939020
704,1013902,939,20,020,939020
705,1013903,932,10,010,932010
706,1013903,931,370,370,931370
707,1014001,934,380,380,934380
708,1014001,931,380,380,931380
709,,,,000,000
710,1014002,934,380,380,934380
711,1014002,931,380,380,931380
712,1014002,936,310,310,936310
713,1014102,931,130,130,931130
714,1014201,936,20,020,936020
715,1014202,936,20,020,936020
716,1014203,936,20,020,936020
717,1014203,934,310,310,934310
718,1014204,936,20,020,936020
719,1014204,932,30,030,932030
720,1014205,936,20,020,936020
721,,,,000,000
722,1014301,932,60,060,932060
723,1014301,932,40,040,932040
724,1014301,932,30,030,932030
725,1014301,934,30,030,934030
726,1014302,923,320,320,923320
727,,,,000,000
728,1014302,931,60,060,931060
729,1014302,931,370,370,931370
730,1014302,933,10,010,933010
731,1014302,923,320,320,923320
732,1014302,932,60,060,932060
733,1014302,932,40,040,932040
734,1014302,931,320,320,931320
735,1014302,932,60,060,932060
736,1014302,932,30,030,932030
737,1014302,934,30,030,934030
738,1014401,937,60,060,937060
739,1014401,911,50,050,911050
740,1014401,931,130,130,931130
741,1014402,937,60,060,937060
742,1014402,911,50,050,911050
743,1014402,931,130,130,931130
744,,,,000,000
745,,,,000,000
746,,,,000,000
747,1014602,932,390,390,932390
748,1014603,932,70,070,932070
749,1014603,932,70,070,932070
750,1014604,931,370,370,931370
751,1014701,921,90,090,921090
752,1014702,921,90,090,921090
753,1014702,935,10,010,935010
754,,,,000,000
755,1014704,921,90,090,921090
756,1014704,935,10,010,935010
757,1014801,931,380,380,931380
758,1014801,931,380,380,931380
759,1014801,931,380,380,931380
760,1014802,931,380,380,931380
761,1014802,931,380,380,931380
762,1014802,931,380,380,931380
763,1014803,931,380,380,931380
764,1014803,931,380,380,931380
765,1014803,931,380,380,931380
766,1014901,931,190,190,931190
767,,,,000,000
768,1014901,931,370,370,931370
769,1014901,932,60,060,932060
770,1014901,931,370,370,931370
771,,,,000,000
772,1014902,932,60,060,932060
773,1014902,931,190,190,931190
774,1014902,931,190,190,931190
775,,,,000,000
776,1014903,932,60,060,932060
777,,,,000,000
778,1014904,932,60,060,932060
779,1015101,929,10,010,929010
780,1015101,931,270,270,931270
781,1015101,934,20,020,934020
782,1015102,929,10,010,929010
783,1015102,931,270,270,931270
784,1015102,934,20,020,934020
785,1015103,932,30,030,932030
786,1015104,931,270,270,931270
787,1015203,931,270,270,931270
788,1015205,931,270,270,931270
789,1015301,932,10,010,932010
790,1015301,932,400,400,932400
791,1015302,932,10,010,932010
792,1015302,932,400,400,932400
793,1015304,932,10,010,932010
794,1015304,932,400,400,932400
795,1015401,932,410,410,932410
796,1015401,932,400,400,932400
797,1015401,932,60,060,932060
798,1015402,932,410,410,932410
799,1015402,932,400,400,932400
800,1015402,932,60,060,932060
801,1015601,932,330,330,932330
802,1015601,932,340,340,932340
803,1015601,932,340,340,932340
804,1015602,933,20,020,933020
805,1015602,932,330,330,932330
806,1015602,932,340,340,932340
807,,,,000,000
808,1015602,932,340,340,932340
809,1015603,932,330,330,932330
810,1015603,932,340,340,932340
811,1015603,932,340,340,932340
812,1015604,932,330,330,932330
813,1015604,932,340,340,932340
814,,,,000,000
815,1015604,932,340,340,932340
816,1015701,911,40,040,911040
817,1015702,911,40,040,911040
818,1015703,932,10,010,932010
819,1015703,911,40,040,911040
820,1015703,932,10,010,932010
821,1015801,911,240,240,911240
822,1015801,931,270,270,931270
823,1015801,931,270,270,931270
824,1015802,911,240,240,911240
825,1015802,931,270,270,931270
826,1015802,931,270,270,931270
827,1015901,939,20,020,939020
828,,,,000,000
829,,,,000,000
830,1015902,932,60,060,932060
831,1015902,939,20,020,939020
832,1015902,935,10,010,935010
833,,,,000,000
834,,,,000,000
835,1015902,935,20,020,935020
836,1015903,939,20,020,939020
837,,,,000,000
838,,,,000,000
839,1016001,931,370,370,931370
840,1016001,931,320,320,931320
841,1016001,938,350,350,938350
842,1016001,936,400,400,936400
843,1016002,931,370,370,931370
844,1016002,931,320,320,931320
845,1016002,938,350,350,938350
846,1016002,936,400,400,936400
847,1016003,931,370,370,931370
848,1016003,931,320,320,931320
849,1016003,932,10,010,932010
850,,,,000,000
851,1016003,938,350,350,938350
852,1016003,936,400,400,936400
853,,,,000,000
854,1016004,938,90,090,938090
855,1016004,931,320,320,931320
856,,,,000,000
857,1016005,938,90,090,938090
858,1016101,931,370,370,931370
859,1016202,931,370,370,931370
860,1016203,911,100,100,911100
861,1016203,911,100,100,911100
862,1016401,934,380,380,934380
863,1016401,939,20,020,939020
864,1016401,938,90,090,938090
865,1016402,934,380,380,934380
866,1016402,939,20,020,939020
867,1016402,938,90,090,938090
868,1016501,911,80,080,911080
869,1016501,931,380,380,931380
870,1016501,932,390,390,932390
871,1016501,931,260,260,931260
872,1016501,931,380,380,931380
873,,,,000,000
874,1016501,932,400,400,932400
875,1016501,931,380,380,931380
876,1016501,931,260,260,931260
877,1016501,932,350,350,932350
878,1016501,932,30,030,932030
879,1016502,911,80,080,911080
880,1016502,931,380,380,931380
881,1016502,932,390,390,932390
882,1016502,931,260,260,931260
883,1016502,931,380,380,931380
884,,,,000,000
885,1016502,932,400,400,932400
886,1016502,931,380,380,931380
887,1016502,931,260,260,931260
888,1016502,911,30,030,911030
889,1016502,932,350,350,932350
890,1016502,932,30,030,932030
891,1016601,911,80,080,911080
892,1016601,935,50,050,935050
893,1016601,931,270,270,931270
894,1016601,939,20,020,939020
895,1016602,931,270,270,931270
896,1016602,932,60,060,932060
897,1016602,935,50,050,935050
898,1016602,931,270,270,931270
899,1016602,939,20,020,939020
900,1016602,939,20,020,939020
901,1016603,911,80,080,911080
902,1016603,931,230,230,931230
903,1016603,931,270,270,931270
904,1016603,934,340,340,934340
905,1016603,935,50,050,935050
