,PID,M_ID,nature,traffic,food,info,facility,kind,total,loc_code,money,age,age_group,money_group,label_group,a_c,all
4698,1007802,123700,3,3,4,3,3,3,3,923010,50000,64,5,2,14,인천 중구,5
4699,1056401,110357,5,4,4,4,4,4,4,923010,60000,71,5,2,14,인천 중구,5
4700,1093401,120959,4,4,4,4,4,4,4,923010,50000,62,5,2,14,인천 중구,5
4701,1093401,120971,4,4,4,4,4,4,4,923010,50000,62,5,2,14,인천 중구,5
4702,1107301,110824,4,4,4,4,4,4,4,923010,50000,64,5,2,14,인천 중구,5
4703,1144501,101303,4,4,4,4,4,4,4,923010,50000,61,5,2,14,인천 중구,5
4704,1178902,118165,4,4,5,4,4,4,4,923010,50000,61,5,2,14,인천 중구,5
4705,1180501,118297,3,3,4,3,3,3,4,923010,62000,60,5,2,14,인천 중구,5
4706,1180502,118297,3,3,4,3,3,3,4,923010,62000,60,5,2,14,인천 중구,5
4707,1191801,101937,4,4,4,4,4,4,4,923010,90000,77,5,2,14,인천 중구,5
4708,1191802,101937,4,4,4,4,4,4,4,923010,90000,70,5,2,14,인천 중구,5
4709,1004101,109494,3,3,4,3,3,4,3,923010,50000,36,3,2,8,인천 중구,5
4710,1004102,109494,3,3,4,3,3,4,3,923010,50000,35,3,2,8,인천 중구,5
4711,1026602,119517,4,4,4,4,4,4,4,923010,52500,33,3,2,8,인천 중구,5
4712,1026604,119517,4,4,4,4,4,4,4,923010,52500,34,3,2,8,인천 중구,5
4713,1040301,120022,5,4,4,4,4,4,4,923010,50000,41,3,2,8,인천 중구,5
4714,1040302,120022,5,4,4,4,4,4,4,923010,50000,36,3,2,8,인천 중구,5
4715,1042002,104242,4,4,5,4,4,3,4,923010,50000,45,3,2,8,인천 중구,5
4716,1103102,110049,4,4,4,4,4,4,4,923010,95000,39,3,2,8,인천 중구,5
4717,1133703,104561,4,4,5,4,3,3,4,923010,60000,35,3,2,8,인천 중구,5
4718,1146603,300536,3,3,4,3,2,3,3,923010,75000,43,3,2,8,인천 중구,5
4719,1154202,117096,5,4,4,4,4,4,4,923010,50000,43,3,2,8,인천 중구,5
4720,1154702,107400,4,4,4,4,4,4,4,923010,50000,44,3,2,8,인천 중구,5
4721,1164001,121157,4,3,4,4,3,4,4,923010,50000,40,3,2,8,인천 중구,5
4722,1164002,121157,4,3,4,4,3,4,4,923010,50000,39,3,2,8,인천 중구,5
4723,1164902,303195,3,2,3,3,3,3,3,923010,66667,40,3,2,8,인천 중구,5
4724,1169503,102624,3,4,4,4,3,4,3,923010,60000,36,3,2,8,인천 중구,5
4725,1309001,300536,3,3,4,3,2,3,3,923010,75000,44,3,2,8,인천 중구,5
4726,1311001,102624,3,4,4,4,3,4,3,923010,60000,34,3,2,8,인천 중구,5
4727,1505901,302684,4,3,4,4,4,3,3,923010,75000,39,3,2,8,인천 중구,5
4728,1505902,302684,4,3,4,4,4,3,3,923010,75000,32,3,2,8,인천 중구,5
4729,1525102,119389,4,4,4,4,4,4,4,923010,50000,45,3,2,8,인천 중구,5
4730,1008401,110911,3,3,3,3,3,3,3,923010,37667,53,4,1,10,인천 중구,5
4731,1008401,110923,4,4,3,2,3,2,3,923010,20000,53,4,1,10,인천 중구,5
4732,1008402,110911,3,3,3,3,3,3,3,923010,37667,50,4,1,10,인천 중구,5
4733,1008402,110923,4,4,3,2,3,2,3,923010,20000,50,4,1,10,인천 중구,5
4734,1047402,300958,5,4,4,4,4,4,5,923010,33550,56,4,1,10,인천 중구,5
4735,1102701,122943,5,5,5,4,4,4,5,923010,25000,51,4,1,10,인천 중구,5
4736,1102702,122943,5,5,5,4,4,4,5,923010,25000,47,4,1,10,인천 중구,5
4737,1140302,101844,4,3,4,4,4,4,4,923010,37500,57,4,1,10,인천 중구,5
4738,1147402,109887,4,4,4,4,4,4,4,923010,30000,55,4,1,10,인천 중구,5
4739,1154701,107474,5,5,4,4,4,4,5,923010,37500,47,4,1,10,인천 중구,5
4740,1170302,303445,4,4,4,4,4,4,4,923010,1000,48,4,1,10,인천 중구,5
4741,1020301,122696,5,4,4,4,4,4,4,923010,100000,71,5,3,15,인천 중구,5
4742,1050901,118518,5,4,4,4,4,4,4,923010,100000,65,5,3,15,인천 중구,5
4743,1093401,108518,4,4,4,3,4,4,4,923010,187333,62,5,3,15,인천 중구,5
4744,1093402,108518,4,4,4,3,4,4,4,923010,187333,60,5,3,15,인천 중구,5
4745,1182201,106162,4,4,4,4,4,4,4,923010,150000,69,5,3,15,인천 중구,5
4746,1215103,116579,4,3,4,4,4,4,4,923010,400000,67,5,3,15,인천 중구,5
4747,1514902,301763,3,4,5,4,4,4,5,923010,250000,64,5,3,15,인천 중구,5
4748,1031103,115148,4,5,5,4,4,5,4,923010,36000,37,3,1,7,인천 중구,5
4749,1031104,115148,4,5,5,4,4,5,4,923010,36000,34,3,1,7,인천 중구,5
4750,1040501,122045,4,4,4,4,4,4,4,923010,28000,38,3,1,7,인천 중구,5
4751,1040501,122047,4,3,4,3,4,4,4,923010,45000,38,3,1,7,인천 중구,5
4752,1040501,303003,5,5,4,4,4,4,5,923010,22500,38,3,1,7,인천 중구,5
4753,1040502,122045,4,4,4,4,4,4,4,923010,28000,38,3,1,7,인천 중구,5
4754,1040502,122047,4,3,4,3,4,4,4,923010,45000,38,3,1,7,인천 중구,5
4755,1040502,303003,5,5,4,4,4,4,5,923010,22500,38,3,1,7,인천 중구,5
4756,1041903,103910,4,4,3,4,3,4,4,923010,25000,31,3,1,7,인천 중구,5
4757,1131501,300345,3,3,2,2,2,2,2,923010,30000,41,3,1,7,인천 중구,5
4758,1131502,300345,3,3,2,2,2,2,2,923010,30000,40,3,1,7,인천 중구,5
4759,1153406,115109,5,4,5,5,5,4,5,923010,20000,34,3,1,7,인천 중구,5
4760,1154601,107099,4,4,4,3,4,4,4,923010,28100,37,3,1,7,인천 중구,5
4761,1154602,107099,4,4,4,3,4,4,4,923010,28100,39,3,1,7,인천 중구,5
4762,1154702,107469,4,4,4,4,4,4,4,923010,40000,44,3,1,7,인천 중구,5
4763,1154702,107474,5,5,4,4,4,4,5,923010,37500,44,3,1,7,인천 중구,5
4764,1164702,122992,5,5,4,4,4,4,5,923010,20000,42,3,1,7,인천 중구,5
4765,1169502,108259,4,4,4,4,3,3,4,923010,45000,38,3,1,7,인천 중구,5
4766,1170404,104095,4,4,4,4,3,4,4,923010,37500,35,3,1,7,인천 중구,5
4767,1170501,121616,4,4,4,4,4,4,4,923010,43333,45,3,1,7,인천 중구,5
4768,1170502,121616,4,4,4,4,4,4,4,923010,43333,45,3,1,7,인천 중구,5
4769,1183804,303808,4,4,4,4,3,3,4,923010,35000,37,3,1,7,인천 중구,5
4770,1300501,104095,4,4,4,4,3,4,4,923010,37500,37,3,1,7,인천 중구,5
4771,1302101,108259,4,4,4,4,3,3,4,923010,45000,38,3,1,7,인천 중구,5
4772,1302401,303808,4,4,4,4,3,3,4,923010,35000,42,3,1,7,인천 중구,5
4773,1034502,301821,4,4,3,5,5,5,4,923010,100000,38,3,3,9,인천 중구,5
4774,1093404,108518,4,4,4,3,4,4,4,923010,187333,31,3,3,9,인천 중구,5
4775,1103802,110042,3,4,4,4,4,4,4,923010,100000,39,3,3,9,인천 중구,5
4776,1140802,103868,4,3,4,4,3,4,4,923010,100000,44,3,3,9,인천 중구,5
4777,1148203,118601,4,4,4,4,4,4,4,923010,100000,45,3,3,9,인천 중구,5
4778,1153406,115033,5,4,4,4,4,4,5,923010,100000,34,3,3,9,인천 중구,5
4779,1192703,101583,4,3,4,4,3,4,4,923010,200000,34,3,3,9,인천 중구,5
4780,1192703,900056,4,3,4,4,3,4,4,923010,200000,34,3,3,9,인천 중구,5
4781,1199701,110503,4,3,3,4,4,4,4,923010,130000,43,3,3,9,인천 중구,5
4782,1199702,110503,4,3,3,4,4,4,4,923010,130000,42,3,3,9,인천 중구,5
4783,1227103,100989,4,3,3,3,2,3,4,923010,125000,31,3,3,9,인천 중구,5
4784,1327801,115033,5,4,4,4,4,4,5,923010,100000,33,3,3,9,인천 중구,5
4785,1503801,301085,3,3,4,3,3,3,3,923010,200000,31,3,3,9,인천 중구,5
4786,1514903,301763,3,4,5,4,4,4,5,923010,250000,37,3,3,9,인천 중구,5
4787,1514905,301763,3,4,5,4,4,4,5,923010,250000,39,3,3,9,인천 중구,5
4788,1039301,104269,3,4,3,4,3,4,4,923010,10000,87,6,1,16,인천 중구,5
4789,1039301,120004,4,4,5,3,4,4,4,923010,10000,87,6,1,16,인천 중구,5
4790,1047401,300958,5,4,4,4,4,4,5,923010,33550,85,6,1,16,인천 중구,5
4791,1193201,101707,3,4,4,4,4,4,4,923010,0,90,6,1,16,인천 중구,5
4792,1042001,104242,4,4,5,4,4,3,4,923010,50000,48,4,2,11,인천 중구,5
4793,1102701,122948,5,5,5,5,5,5,5,923010,50000,51,4,2,11,인천 중구,5
4794,1102702,122948,5,5,5,5,5,5,5,923010,50000,47,4,2,11,인천 중구,5
4795,1134602,120177,4,3,4,4,4,4,4,923010,50000,55,4,2,11,인천 중구,5
4796,1144502,101303,4,4,4,4,4,4,4,923010,50000,59,4,2,11,인천 중구,5
4797,1154201,117096,5,4,4,4,4,4,4,923010,50000,48,4,2,11,인천 중구,5
4798,1154701,107400,4,4,4,4,4,4,4,923010,50000,47,4,2,11,인천 중구,5
4799,1155301,122752,4,3,4,4,3,4,4,923010,60000,49,4,2,11,인천 중구,5
4800,1164901,303195,3,2,3,3,3,3,3,923010,66667,46,4,2,11,인천 중구,5
4801,1506601,118514,4,4,5,4,5,4,4,923010,90000,46,4,2,11,인천 중구,5
4802,1524702,118105,4,3,4,4,4,4,4,923010,50000,54,4,2,11,인천 중구,5
4803,1097504,110316,4,4,4,3,3,3,4,923010,90000,26,2,2,5,인천 중구,5
4804,1097504,110321,4,4,4,3,3,4,4,923010,50000,26,2,2,5,인천 중구,5
4805,1102703,122948,5,5,5,5,5,5,5,923010,50000,28,2,2,5,인천 중구,5
4806,1102704,122948,5,5,5,5,5,5,5,923010,50000,21,2,2,5,인천 중구,5
4807,1134904,110097,3,3,4,4,4,4,3,923010,50000,22,2,2,5,인천 중구,5
4808,1156404,123102,3,4,3,4,2,4,4,923010,50000,22,2,2,5,인천 중구,5
4809,1157304,117115,5,4,5,4,4,4,5,923010,50000,28,2,2,5,인천 중구,5
4810,1158004,123104,3,4,4,4,3,4,4,923010,50000,24,2,2,5,인천 중구,5
4811,1160804,123093,3,4,4,3,3,3,3,923010,50000,23,2,2,5,인천 중구,5
4812,1160805,107601,4,4,3,4,3,4,4,923010,50000,21,2,2,5,인천 중구,5
4813,1186705,117212,4,4,4,4,3,3,4,923010,50000,24,2,2,5,인천 중구,5
4814,1098502,107156,4,4,4,4,4,4,4,923010,250000,46,4,3,12,인천 중구,5
4815,1098502,107157,4,4,4,4,4,4,4,923010,250000,46,4,3,12,인천 중구,5
4816,1098502,119102,4,4,4,4,4,4,4,923010,300000,46,4,3,12,인천 중구,5
4817,1174301,121610,4,4,3,3,3,3,4,923010,100000,57,4,3,12,인천 중구,5
4818,1098504,119145,4,3,4,3,4,3,4,923010,32500,17,1,1,1,인천 중구,5
4819,1132804,109628,4,3,4,4,3,3,3,923010,30000,19,1,1,1,인천 중구,5
4820,1170504,121616,4,4,4,4,4,4,4,923010,43333,15,1,1,1,인천 중구,5
4821,1164903,303195,3,2,3,3,3,3,3,923010,66667,17,1,2,2,인천 중구,5
4822,1217402,109748,5,4,4,4,4,4,4,923010,173700,28,2,3,6,인천 중구,5
4823,1003201,110361,5,3,3,4,4,4,5,938070,50000,77,5,2,14,경남 김해시,6
4824,1003301,110262,4,4,5,5,5,5,5,938070,75000,61,5,2,14,경남 김해시,6
4825,1003302,110262,4,4,5,5,5,5,5,938070,75000,61,5,2,14,경남 김해시,6
4826,1218101,109355,5,4,5,4,4,4,4,938070,80000,79,5,2,14,경남 김해시,6
4827,1027901,101462,4,4,4,3,4,4,4,938070,25000,33,3,1,7,경남 김해시,6
4828,1027901,101460,4,4,4,4,3,4,4,938070,18750,33,3,1,7,경남 김해시,6
4829,1027902,101462,4,4,4,3,4,4,4,938070,25000,35,3,1,7,경남 김해시,6
4830,1027902,101460,4,4,4,4,3,4,4,938070,18750,35,3,1,7,경남 김해시,6
4831,1062802,109145,5,5,4,5,4,3,4,938070,33333,41,3,1,7,경남 김해시,6
4832,1235502,105792,4,4,4,4,4,4,4,938070,40000,44,3,1,7,경남 김해시,6
4833,1262302,122113,5,4,4,4,4,4,5,938070,41667,45,3,1,7,경남 김해시,6
4834,1269201,116725,3,4,3,4,4,3,3,938070,44500,44,3,1,7,경남 김해시,6
4835,1270003,102054,3,4,4,4,5,5,4,938070,45000,43,3,1,7,경남 김해시,6
4836,1059704,112477,4,4,4,5,5,4,4,938070,20000,25,2,1,4,경남 김해시,6
4837,1065501,114564,4,4,4,4,4,4,4,938070,183333,41,3,3,9,경남 김해시,6
4838,1065502,114564,4,4,4,4,4,4,4,938070,183333,40,3,3,9,경남 김해시,6
