PID,M_ID,q6_1,q6_1_1
1016502,117151,932,30
1016601,100787,911,80
1016601,117607,935,50
1016601,117613,931,270
1016601,117616,939,20
1016602,117619,931,270
1016602,117622,932,60
1016602,117607,935,50
1016602,117613,931,270
1016602,117616,939,20
1016602,117628,939,20
1016603,100785,911,80
1016603,100781,931,230
1016603,117599,931,270
1016603,100777,934,340
1016603,117595,935,50
1016603,117600,939,20
1016701,106919,921,90
1016701,106920,937,30
1016702,106919,921,90
1016702,106920,937,30
1016703,106919,921,90
1016704,106917,921,90
1016801,118348,932,60
1016802,118348,932,60
1016803,103936,911,230
1016803,900154,911,230
1016803,118348,932,60
1016804,118348,932,60
1017002,101790,931,270
1017002,117635,939,20
1017002,117637,932,310
1017003,101790,931,270
1017003,117635,939,20
1017004,101783,931,270
1017004,117680,939,20
1017103,106940,938,50
1017201,106937,932,60
1017302,122634,923,310
1017501,106959,933,380
1017501,117200,934,340
1017501,117204,932,370
1017501,117209,931,50
1017501,117213,911,50
1017501,117217,935,10
1017502,106959,933,380
1017502,117200,934,340
1017502,117204,932,370
1017502,117209,931,50
1017502,117213,911,50
1017502,117217,935,10
1017701,106927,932,70
1017701,106928,938,50
1017701,117194,932,60
1017701,117196,931,90
1017701,117198,932,340
1017702,106927,932,70
1017702,117194,932,60
1017702,117196,931,90
1017702,117198,932,340
1017801,120227,933,380
1017801,120233,933,350
1017801,120238,931,370
1017802,102845,934,380
1017802,120227,933,380
1017802,120241,932,390
1017803,120227,933,380
1017804,120227,933,380
1017901,109595,935,50
1017901,109597,911,100
1017901,109599,911,220
1018001,120272,939,20
1018002,120277,939,20
1018101,110736,936,20
1018101,115413,931,320
1018102,110736,936,20
1018201,115446,937,20
1018202,115446,937,20
1018203,115446,937,20
1018204,115446,937,20
1018301,110397,939,10
1018301,110398,932,400
1018301,110399,934,350
1018301,121754,936,450
1018302,110397,939,10
1018302,110398,932,400
1018302,110399,934,350
1018302,121754,936,450
1018303,121763,932,60
1018304,121763,932,60
1018401,106042,923,10
1018401,122694,911,40
1018402,122694,911,40
1018501,105396,911,20
1018502,118281,932,60
1018702,119576,932,370
1018703,119576,932,370
1018704,119576,932,370
1018801,104832,936,20
1018801,111001,936,20
1018801,118833,935,310
1018802,104832,936,20
1018803,104832,936,20
1018803,118834,931,260
1019101,104017,938,30
1019101,900164,938,30
1019201,118823,937,30
1019202,105408,931,380
1019202,105416,931,380
1019202,118823,937,30
1019203,105408,931,380
1019203,105416,931,380
1019203,118823,937,30
1019204,105416,931,380
1019204,118823,937,30
1019204,118829,932,30
1019301,118821,931,230
1019302,118810,931,190
1019302,118821,931,230
1019501,123662,934,30
1019501,123664,934,360
1019601,120431,934,40
1019601,120434,931,200
1019602,120431,934,40
1019602,120434,931,200
1019701,104018,931,200
1019701,118799,935,370
1019701,118800,939,10
1019702,104018,931,200
1019702,118799,935,370
1019702,118800,939,10
1019703,104018,931,200
1019703,118799,935,370
1019703,118800,939,10
1019703,118802,931,370
1019704,104018,931,200
1019704,104021,932,30
1019704,118799,935,370
1019704,118800,939,10
1019705,104018,931,200
1019705,118799,935,370
1019801,104015,934,30
1019801,118046,939,10
1019801,118056,921,30
1019802,104015,934,30
1019802,118046,939,10
1019802,118056,921,30
1020301,104051,937,60
1020301,104052,938,90
1020301,122696,923,10
1020301,122697,935,320
1020301,122698,923,310
1020401,101391,931,200
1020401,122626,932,10
1020601,122767,935,40
1020602,122767,935,40
1020701,110737,923,60
1020702,110737,923,60
1020702,122700,931,10
1020703,110737,923,60
1020801,105587,931,260
1020802,105587,931,260
1020803,105587,931,260
1020901,104016,931,380
1020902,104016,931,380
1020903,104016,931,380
1021101,104053,931,370
1021102,104053,931,370
1021103,104053,931,370
1021103,115443,932,30
1021104,104053,931,370
1021104,115444,931,200
1021105,104055,931,200
1021105,115445,934,30
1021201,104221,931,10
1021201,900169,931,10
1021201,115451,932,30
1021301,120365,932,60
1021302,120365,932,60
1021303,120365,932,60
1021401,104057,931,220
1021401,120444,931,200
1021402,104057,931,220
1021501,110968,911,10
1021501,117485,932,30
1021502,117487,932,60
1021502,117485,932,30
1021503,117485,932,30
1021503,117489,931,10
